order,wavmin,wavmax
0,5858.17963649602,5951.37497052064
1,5800.73274536431,5893.2369905748
2,5744.39030307172,5836.00129849069
3,5689.12642328541,5779.84120335164
4,5634.89209931695,5724.72578779936
5,5581.68324851711,5670.66918489517
6,5529.47526976406,5617.66438661879
7,5478.24415254571,5565.68243370221
8,5427.96543578669,5514.61056386383
9,5378.6175646383,5464.50866155781
10,5330.18041272929,5415.35036033408
11,5282.63092677256,5367.04949180371
12,5235.80202787337,5319.37687594808
13,5189.75250088467,5272.45949605191
14,5144.47661723013,5226.29926295153
